Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Precio
Chablis Montmains 1er Cru 2015,France,Chablis 1er Cru 'Montmains',Domaine des Marronniers,4.1,78,19.9,2015,19,9
Gemischter Satz 2018,Austria,Wien,Zahel,3.4,78,9.9,2018,9,9
Solosole Pagus Camilla 2015,Italy,Bolgheri,Poggio Al Tesoro,4.1,78,44.9,2015,44,9
Strassertal Grüner Veltliner 2018,Austria,Kamptal,Johann Topf,3.5,78,12.41,2018,12,41
Bourgogne Le Chardonnay de Chardonnay 2017,France,Bourgogne,Bouchard Père & Fils,3.7,78,44.59,2017,44,59
Rotes Tor - Grüner Veltliner Smaragd 2018,Austria,Wachau,Franz Hirtzberger,4.1,79,42.5,2018,42,5
Le Petit Cheval Bordeaux Blanc 2016,France,Bordeaux,Château Cheval Blanc,4.4,79,138.6,2016,138,6
Belleruche Côtes-du-Rhône Blanc 2019,France,Côtes-du-Rhône,M. Chapoutier,3.7,79,10.47,2019,10,47
Chardonnay 2018,South Africa,Elgin,Iona,4.1,79,23.5,2018,23,5
Weißer Burgunder 2018,Germany,Nahe,Gut Hermannsberg,3.8,79,9.9,2018,9,9
Riesling Suez 2016,Germany,Pfalz,Reichsrat von Buhl,3.8,79,17.9,2016,17,9
Douro Fabelhaft Branco 2017,Portugal,Douro,Niepoort,3.7,79,10.35,2017,10,35
Grauburgunder Vom Löss 2018,Germany,Baden,Franz Keller,3.4,79,8.5,2018,8,5
Sauvignon 2017,Italy,Friuli Grave,Borgo Magredo,3.7,79,8.78,2017,8,78
Norheimer Kirschheck Riesling Spätlese 2017,Germany,Nahe,Dönnhoff,4.1,79,23.49,2017,23,49
Vom Vulkan 2018,Germany,Nahe,Gut Hermannsberg,4.0,79,15.65,2018,15,65
Meursault-Blagny 1er Cru 'La Pièce sous le Bois' 2015,France,Blagny 1er Cru 'La Pièce sous le Bois',Domaine Sylvain Langoureau,4.3,79,85.0,2015,85
Côtes de Tablas Blanc 2015,United States,Paso Robles,Tablas Creek Vineyard,3.9,79,32.0,2015,32
Chenin Blanc 2018,South Africa,Swartland,David & Nadia,3.9,79,34.15,2018,34,15
Chardonnay 2018,South Africa,Western Cape,Obikwa,3.6,79,5.62,2018,5,62
Eins Zu Eins Blanc de Noirs 2019,Germany,Pfalz,Weingut A. Diehl,4.3,79,6.75,2019,6,75
Les Cépages Sauvignon Blanc 2012,France,Pays d'Oc,Baron Philippe de Rothschild,3.2,79,8.69,2012,8,69
Blanc Secret Côtes de Provence 2016,France,Côtes de Provence,Château des Sarrins,4.1,80,16.52,2016,16,52
Sauvignon 2017,Italy,Südtirol - Alto Adige,Franz Haas,4.1,80,35.44,2017,35,44
Volratz Riesling Trocken 2018,Germany,Rheingau,Schloss Vollrads,3.7,80,9.5,2018,9,5
Deidesheimer Kieselberg Riesling Trocken 2017,Germany,Pfalz,Dr. Von Bassermann-Jordan,3.8,80,19.99,2017,19,99
Bussiador 2016,Italy,Langhe,Aldo Conterno,4.1,80,48.4,2016,48,4
Reméage Blanc 2017,France,Vin de France,Les Vins de Vienne - Cuilleron-Gaillard-Villard,3.8,80,9.5,2017,9,5
Sobaja Sauvignon 2018,Italy,Friuli Grave,Pradio,3.8,80,10.51,2018,10,51
Lion Grüner Veltliner 2018,Austria,Niederösterreich,Kracher & Sohm,3.8,80,12.49,2018,12,49
Alte Reben Riesling 2018,Germany,Mosel,Van Volxem,4.0,80,17.69,2018,17,69
Semillón 2017,Argentina,Mendoza,El Enemigo,3.9,80,19.01,2017,19,01
Alpi Retiche 2018,Italy,Vino d'Italia,Nino Negri,3.7,80,13.26,2018,13,26
Tributo Chardonnay 2016,Chile,Casablanca Valley,Caliterra,3.5,80,10.23,2016,10,23
Pouilly-Fumé La Chantereine 2018,France,Pouilly-Fumé,Henri Bourgeois,3.6,80,22.42,2018,22,42
Condrieu Le Grand Vallon 2017,France,Condrieu,Francois Villard,4.2,80,40.9,2017,40,9
Sauvignon Blanc 2019,Chile,Leyda Valley,Amaral,3.7,80,8.99,2019,8,99
L'Abeille de Fieuzal Pessac-Léognan Blanc 2015,France,Pessac-Léognan,Château de Fieuzal,3.9,80,27.78,2015,27,78
The Whip White Blend 2017,United States,Livermore Valley,Murrieta's Well,3.8,80,26.31,2017,26,31
Federspiel Grüner Veltliner 2018,Austria,Wachau,Domäne Wachau,3.6,80,10.49,2018,10,49
Langenlois Grüner Veltliner 2018,Austria,Kamptal,Loimer,3.7,80,8.87,2018,8,87
Sauvignon Blanc 2016,New Zealand,Marlborough,Leefield Station,3.9,81,13.9,2016,13,9
GT-V Viognier 2018,France,Rhone Valley,LePlan-Vermeersch,3.9,81,15.37,2018,15,37
Gaudium Fiano di Avellino 2016,Italy,Fiano de Avellino,I Capitani,4.1,81,12.53,2016,12,53
Chiaramonte Inzolia Sicilia 2018,Italy,Terre Siciliane,Firriato,3.6,81,7.9,2018,7,9
Chardonnay 2017,New Zealand,Marlborough,Nautilus,4.0,81,22.22,2017,22,22
Langhe Chardonnay 2018,Italy,Langhe,Fontanafredda,3.4,81,7.51,2018,7,51
Vouvray Sec 2017,France,Vouvray,Clos de Nouys,3.8,81,10.92,2017,10,92
Gewürztraminer 2016,France,Alsace,Hugel,3.8,81,16.47,2016,16,47
Chenin Blanc 2019,South Africa,Citrusdal Mountain,Cederberg,3.6,81,13.15,2019,13,15
Hattenheim Engelmannsberg Riesling Trocken 2018,Germany,Rheingau,Balthasar Ress,4.1,81,17.9,2018,17,9
Corton-Charlemagne Grand Cru 2013,France,Corton-Charlemagne Grand Cru,Joseph Drouhin,4.5,82,193.99,2013,193,99
Ried Schütt Dürnsteiner Riesling Smaragd 2017,Austria,Wachau,Weingut Knoll,4.3,82,42.0,2017,42
Cassis Blanc 2017,France,Cassis,Ferme Blanche,3.6,82,15.9,2017,15,9
Merol Chardonnay 2017,Italy,Südtirol - Alto Adige,St. Michael-Eppan,3.7,82,12.6,2017,12,6
Selida Gewürztraminer 2019,Italy,Südtirol - Alto Adige,Tramin,3.9,82,13.5,2019,13,5
Doosberg Riesling Trocken 2016,Germany,Rheingau,Peter Jakob Kühn,4.4,82,42.89,2016,42,89
Riesling Trocken 2018,Germany,Rheinhessen,P. J. Valckenberg,3.8,82,6.2,2018,6,2
Benchmark Chardonnay 2014,Australia,Barossa,Grant Burge,3.2,82,6.95,2014,6,95
Chardonnay Bourgogne 2016,France,Bourgogne,Ropiteau Freres,3.6,82,12.08,2016,12,08
Moonlite Toscana 2018,Italy,Toscana,Rocca delle Macìe,3.7,82,9.99,2018,9,99
Gris 2009,Italy,Friuli Isonzo,Lis Neris,4.0,82,44.28,2009,44,28
Grüner Veltliner Loiser Berg 2016,Austria,Kamptal,Weingut Bründlmayer,3.6,82,18.5,2016,18,5
Grüner Sylvaner Trocken 2016,Germany,Rheinhessen,Battenfeld Spanier,3.9,82,12.19,2016,12,19
Hallgartener Hendelberg Riesling Trocken 2017,Germany,Rheingau,Peter Jakob Kühn,4.0,82,24.0,2017,24
Gavi Riserva 2016,Italy,Gavi,La Raia,4.0,82,18.5,2016,18,5
Sauvignon Blanc 2017,Italy,Friuli Isonzo,I Feudi di Romans,3.8,83,14.53,2017,14,53
Villa Blanche Chardonnay 2019,France,Pays d'Oc,Calmel & Joseph,3.8,83,6.77,2019,6,77
Chassagne-Montrachet Blanc 2017,France,Chassagne-Montrachet,Joseph Drouhin,4.2,83,58.39,2017,58,39
Jesuitengarten GG 2012,Germany,Pfalz,Reichsrat von Buhl,4.3,83,42.0,2012,42
Modello Pinot Grigio 2019,Italy,Veneto,Masi,3.8,83,8.99,2019,8,99
Terroir Series Sauvignon Blanc 2019,New Zealand,Marlborough,Brancott Estate,4.0,83,12.1,2019,12,1
Scharzhofberger Riesling Kabinett 2011,Germany,Mosel,Bischöfliche Weingüter Trier,3.8,83,9.64,2011,9,64
Riesling Federspiel Terrassen 2019,Austria,Wachau,Domäne Wachau,3.7,83,9.49,2019,9,49
Graacher Himmelreich Riesling Kabinett 2018,Germany,Mosel,Willi Schaefer,3.9,83,17.9,2018,17,9
Terre d'Argence Gard 2016,France,Coteaux du Pont du Gard,Château Mourgues du Grès,3.8,83,12.9,2016,12,9
L'Elfo Pinot Grigio 2018,Italy,Veneto,Sacchetto,3.6,83,5.9,2018,5,9
Terlaner Classico 2019,Italy,Südtirol - Alto Adige,Terlan (Terlano),4.0,83,12.89,2019,12,89
Piano dei Daini Etna Bianco 2017,Italy,Etna,Tenute Bosco,3.8,83,24.73,2017,24,73
Johannisberger Riesling Trocken 2017,Germany,Rheingau,Prinz von Hessen,3.8,83,11.31,2017,11,31
Spätburgunder Blanc de Noir 2018,Germany,Ahr,Jean Stodden,3.6,83,12.4,2018,12,4
Seven Flags Chardonnay 2017,South Africa,Elgin,Paul Cluver,4.4,83,53.35,2017,53,35
Chardonnay (Barrel Fermented) 2018,South Africa,Breede River Valley,Bergsig Estate,3.7,83,9.25,2018,9,25
Corton-Charlemagne Grand Cru 2015,France,Corton-Charlemagne Grand Cru,Domaine des Héritiers Louis Jadot,4.6,84,221.95,2015,221,95
Saint-Joseph Blanc 2016,France,Saint-Joseph,E. Guigal,3.7,84,25.92,2016,25,92
Lugana 2019,Italy,Lugana,Ottella,3.8,84,9.3,2019,9,3
Podium Verdicchio dei Castelli di Jesi Classico Superiore 2017,Italy,Verdicchio dei Castelli di Jesi,Garofoli,3.7,84,14.9,2017,14,9
Kalkmergel Riesling Trocken 2017,Germany,Pfalz,Knipser,3.9,84,15.38,2017,15,38
Pessac-Léognan Blanc 2005,France,Pessac-Léognan,Château Smith Haut-Lafitte,4.2,84,119.95,2005,119,95
Bourgogne Chardonnay 2017,France,Bourgogne,Olivier Leflaive,3.8,84,19.99,2017,19,99
Château-Thébaud 2015,France,Muscadet-Sevre et Maine,Pépière,3.9,84,18.9,2015,18,9
Gavi 2018,Italy,Gavi,Cascina la Doria,3.4,84,8.93,2018,8,93
Appius 2014,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.4,84,110.0,2014,110
Val dei Molini Custoza 2018,Italy,Bianco di Custoza,Cantina di Custoza,3.4,84,7.3,2018,7,3
Villa Cordevigo Bianco 2016,Italy,Rosso Veronese,Villabella,4.3,84,19.07,2016,19,07
Les Princes Abbés Pinot Gris Alsace 2017,France,Alsace,Domaines Schlumberger,3.8,84,11.6,2017,11,6
Chardonnay - Weissburgunder Trocken 2018,Germany,Pfalz,Knipser,3.6,84,13.15,2018,13,15
Pinot Gris Alsace Signature 2018,France,Alsace,Wolfberger,3.9,85,7.66,2018,7,66
Viognier 2018,France,Côtes de Thongue,Domaine Montrose,3.6,85,8.68,2018,8,68
Grüner Veltliner vom Haus 2019,Austria,Niederösterreich,Weingut R&A Pfaffl,3.8,85,7.5,2019,7,5
Vineyard Selection Chardonnay (Barrel Fermented) 2019,South Africa,Western Cape,Kleine Zalze,3.9,85,11.5,2019,11,5
Appius 2013,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.5,85,100.99,2013,100,99
Pinot Grigio 2018,Italy,Colli Orientali del Friuli,Torre Rosazza,3.8,85,13.93,2018,13,93
Chardonnay 2016,United States,Washington,Red Diamond,3.6,85,14.13,2016,14,13
Barrel Fermented Chardonnay 2017,South Africa,Franschhoek,Holden Manz,4.1,85,23.95,2017,23,95
Agneau Bordeaux Blanc 2018,France,Bordeaux,Baron Philippe de Rothschild,3.2,85,6.05,2018,6,05
Gewürztraminer 2019,Italy,Südtirol - Alto Adige,Wilhelm Walch,3.8,85,11.0,2019,11
Viognier 2015,Australia,South Australia,Oxford Landing,3.2,85,8.78,2015,8,78
Sauvignon Blanc 2019,South Africa,Paarl,Niel Joubert,3.7,85,5.56,2019,5,56
Kinheimer Rosenberg Riesling Kabinett 2015,Germany,Mosel,Markus Molitor,3.9,85,15.95,2015,15,95
Schlossberg 2016,Germany,Rheingau,Schloss Vollrads,3.9,86,27.78,2016,27,78
Cà del Lago Lugana 2018,Italy,Lugana,Villabella,3.8,86,11.9,2018,11,9
Leiwener Riesling Trocken 2018,Germany,Mosel,Josef Rosch,3.9,86,8.69,2018,8,69
Perlato del Bosco Toscana Vermentino 2018,Italy,Toscana,Tua Rita,3.7,86,14.43,2018,14,43
Cellar Selection Unoaked Chardonnay 2019,South Africa,Stellenbosch,Kleine Zalze,3.3,86,8.7,2019,8,7
Il Mandorlo Gavi 2016,Italy,Gavi,Tenuta San Pietro,4.2,86,16.95,2016,16,95
SL Riesling Kabinett 2016,Germany,Mosel,Schloss Lieser,3.7,86,12.95,2016,12,95
Le Phant Blanc 2014,New Zealand,Hawke's Bay,Elephant Hill,3.5,86,19.9,2014,19,9
Wehlener Sonnenuhr Riesling Spätlese 2015,Germany,Mosel,Markus Molitor,4.0,86,22.95,2015,22,95
Il Forte Gavi 2018,Italy,Gavi,Produttori del Gavi,3.8,86,10.57,2018,10,57
Grillo 2018,Italy,Terre Siciliane,Feudi Branciforti dei Bordonaro,3.5,86,8.44,2018,8,44
Grauburgunder 2018,Germany,Pfalz,Friedrich Becker,3.9,86,9.26,2018,9,26
Chardonnay 2019,South Africa,Paarl,Glen Carlou,4.2,86,14.5,2019,14,5
Chardonnay (Monovitigno) 2018,Italy,Venezia Giulia,di Lenardo,3.6,87,10.59,2018,10,59
Le Vaglie Verdicchio dei Castelli di Jesi Classico 2019,Italy,Verdicchio dei Castelli di Jesi,Azienda Santa Barbara - Stefano Antonucci,4.1,87,11.3,2019,11,3
Wehlener Sonnenuhr Riesling Auslese 2016,Germany,Wehlen,Joh. Jos. Prüm,4.4,87,36.58,2016,36,58
Viognier de Rosine 2018,France,Collines Rhodaniennes,Michel & Stéphane Ogier,3.8,87,22.9,2018,22,9
Sulz Morillon 2015,Austria,Südsteiermark,Tement,3.9,87,24.9,2015,24,9
Ciari Sauvignon Blanc 2018,Italy,Venezia,Borgo Molino,3.9,87,10.8,2018,10,8
Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2011,France,Pessac-Léognan,Domaine de Chevalier,4.2,87,146.95,2011,146,95
Pouilly-Fuissé 2018,France,Pouilly-Fuissé,Louis Latour,3.9,87,23.69,2018,23,69
Zeltinger Himmelreich Riesling Kabinett 2017,Germany,Mosel,Markus Molitor,3.9,87,17.18,2017,17,18
Branco 2017,Portugal,Alentejano,Cortes de Cima,3.9,87,13.6,2017,13,6
Weissburgunder 2018,Germany,Mosel,Van Volxem,4.0,87,12.69,2018,12,69
Villa Blanche Viognier 2018,France,Pays d'Oc,Calmel & Joseph,3.8,87,6.77,2018,6,77
Raif Sauvignon 2018,Italy,Vigneti delle Dolomiti,Castelfeder,3.8,87,12.48,2018,12,48
Montmains Chablis Premier Cru 2016,France,Chablis Premier Cru,Domaine du Chardonnay,3.8,87,27.5,2016,27,5
Sancerre Blanc 2018,France,Sancerre,Domaine la Barbotaine,4.0,87,13.78,2018,13,78
Capitel Foscarino 2018,Italy,Veneto,Anselmi,3.9,87,13.9,2018,13,9
Sauvignon Blanc 2018,New Zealand,Nelson,Seifried Estate,4.1,87,12.9,2018,12,9
Silvaner Trocken 2018,Germany,Rheinhessen,Wittmann,3.6,87,9.09,2018,9,09
Rüdesheimer Berg Schlossberg Ehrenfels Riesling 2016,Germany,Rheingau,Leitz,4.1,88,38.99,2016,38,99
Quarzit Riesling Trocken 2018,Germany,Rheingau,Peter Jakob Kühn,4.0,88,17.5,2018,17,5
Scheurebe Trocken 2018,Germany,Rheinhessen,K.Wechsler,3.6,88,8.89,2018,8,89
Logan Chardonnay (Sleepy Hollow Vineyard) 2015,United States,Santa Lucia Highlands,Talbott,3.8,88,14.25,2015,14,25
Fausto Chardonnay 2013,Brazil,Serra Gaúcha,Pizzato,3.2,88,11.5,2013,11,5
Masseria dei Carmelitani Gavi 2019,Italy,Gavi,Vite Colte,4.1,88,9.11,2019,9,11
Grüner Veltliner Smaragd Achleiten 2018,Austria,Wachau,Domäne Wachau,4.2,88,26.0,2018,26
Grüner Veltliner Berg Vogelsang 2018,Austria,Kamptal,Weingut Bründlmayer,3.8,88,14.7,2018,14,7
Riesling Abtsberg GG 2017,Germany,Mosel,Maximin Grünhaus,4.1,88,29.15,2017,29,15
Two Blanc 2015,South Africa,Constantia,Constantia Glen,4.1,88,16.47,2015,16,47
Satellite Sancerre 2012,France,Sancerre,Alphonse Mellot,4.1,88,35.0,2012,35
Réserve Graves Blanc 2016,France,Graves,Mouton Cadet,3.6,88,12.6,2016,12,6
Les Moulins de Turquant Blanc 2015,France,Saumur,Couly-Dutheil,3.9,89,13.69,2015,13,69
Wehlener Klosterberg Riesling Kabinett 2016,Germany,Mosel,Markus Molitor,3.5,89,17.95,2016,17,95
Verdeca Salento Petraluce 2018,Italy,Salento,Castello Monaci,3.9,89,7.2,2018,7,2
Saar Riesling Fuder 13 2017,Germany,Mosel,Van Volxem,3.8,89,36.56,2017,36,56
La Galopine Condrieu 2016,France,Condrieu,Delas,3.9,89,52.57,2016,52,57
Vom Schiefer Riesling Trocken 2017,Germany,Mosel,Ansgar Clüsserath,3.6,89,9.65,2017,9,65
Sauvignon Blanc 2019,South Africa,Durbanville,Durbanville Hills,3.7,89,7.6,2019,7,6
Sauvignon Blanc 2018,New Zealand,Marlborough,Tower Rock,3.8,89,7.77,2018,7,77
Porcupine Ridge Chenin Blanc 2016,South Africa,Franschhoek,Boekenhoutskloof,3.3,89,8.33,2016,8,33
Sauvignon Blanc 2018,South Africa,Stellenbosch,Reyneke,3.8,89,17.6,2018,17,6
Grauburgunder - Weissburgunder 2018,Germany,Pfalz,Weingut A. Diehl,3.5,89,6.59,2018,6,59
Mitzi Gelber Muskateller 2018,Austria,Südsteiermark,Gross,3.8,89,12.18,2018,12,18
Prachtstück Weiss 2018,Germany,Pfalz,Weingut Metzger,3.9,89,8.24,2018,8,24
Sauvignon Blanc Reserve 2017,United States,California,Dancing Bull,3.3,90,10.26,2017,10,26
Rotschiefer Riesling 2015,Germany,Mosel,Sorentberg,3.9,90,14.7,2015,14,7
Eric's Unoaked Chardonnay (Small Lot) 2017,United States,Livermore Valley,Wente,4.1,90,27.13,2017,27,13
White 2018,United States,Napa Valley,689 - Six Eight Nine,3.6,90,18.42,2018,18,42
Ockfener Bockstein Riesling Kabinett 2015,Germany,Mosel,Markus Molitor,4.0,90,17.29,2015,17,29
Sauvignon Blanc 2018,South Africa,Stellenbosch,Mulderbosch,3.7,90,12.48,2018,12,48
Crozes-Hermitage Blanc 2017,France,Crozes-Hermitage,E. Guigal,3.7,90,22.33,2017,22,33
Viognier 2019,South Africa,Walker Bay,Creation,3.9,91,12.99,2019,12,99
The King's Favour Sauvignon Blanc 2012,New Zealand,Marlborough,The Kings Series,3.6,91,13.9,2012,13,9
Gavi 2017,Italy,Monferrato,Ricossa,3.4,91,9.5,2017,9,5
Langhe Arneis 2018,Italy,Langhe,Fontanabianca,3.3,91,11.64,2018,11,64
Chablis 2016,France,Chablis,Château de Chemilly,4.0,91,15.5,2016,15,5
Vernaccia di San Gimignano 2018,Italy,Vernaccia di San Gimignano,Castello Montaùto,3.6,91,10.96,2018,10,96
Trebì Trebbiano d'Abruzzo 2018,Italy,Trebbiano d'Abruzzo,Talamonti,3.5,91,7.55,2018,7,55
Villa Di Chiesa Valli di Porto Pino 2017,Italy,Valli di Porto Pino,Santadi,4.2,91,18.9,2017,18,9
Steinterrassen 2016,Germany,Nahe,Gut Hermannsberg,4.0,91,23.5,2016,23,5
Lisboa Arinto 2019,Portugal,Lisboa,Paxis,3.5,91,4.8,2019,4,8
White Label Nik Weis Schiefer Riesling 2018,Germany,Mosel,St. Urbans-Hof,4.0,91,11.9,2018,11,9
Sancerre Les Romains 2017,France,Sancerre,Domaine Vacheron,4.1,91,42.9,2017,42,9
Clos du Four Mâcon-Milly-Lamartine 2014,France,Mâcon-Milly-Lamartine,Les Héritiers du Comte Lafon,3.8,92,34.54,2014,34,54
Les Caillardières Savennières 2016,France,Savennières,Domaine du Closel - Château des Vaults,4.0,92,34.8,2016,34,8
Bourgogne Cuvée Saint-Vincent Blanc 2016,France,Bourgogne,Vincent Girardin,3.7,92,16.9,2016,16,9
Gavi 2019,Italy,Gavi,Villa Sparina,3.9,92,13.5,2019,13,5
Grüner Veltliner Federspiel 2018,Austria,Wachau,Rudi Pichler,3.7,92,13.5,2018,13,5
Deidesheimer Kalkofen GG 2015,Germany,Pfalz,Von Winning,4.2,92,35.95,2015,35,95
Ribolla Gialla 2017,Italy,Colli Orientali del Friuli,Torre Rosazza,3.7,92,13.93,2017,13,93
Limited Selection Sauvignon Blanc 2019,Chile,Leyda Valley,Montes,3.6,92,7.94,2019,7,94
Vulkangestein Riesling Trocken 2016,Germany,Nahe,Schäfer-Fröhlich,3.8,92,15.1,2016,15,1
Aimery Chardonnay 2018,France,Pays d'Oc,Sieur d'Arques,3.3,92,5.75,2018,5,75
12 e Mezzo Malvasia del Salento 2019,Italy,Salento,Varvaglione,4.0,92,7.4,2019,7,4
Terra Montosa Riesling 2018,Germany,Rheingau,Georg Breuer,3.9,93,18.9,2018,18,9
Felugan 2019,Italy,Lugana,Feliciana,4.0,93,9.95,2019,9,95
Clos du Rocher Terroir d'Exception Grand Cru Blanc 2018,Switzerland,Yvorne,Obrist,4.1,93,27.75,2018,27,75
Figure Libre Freestyle Blanc 2017,France,Pays d'Oc,Gayda,3.8,93,11.45,2017,11,45
Von Unserm Riesling Trocken 2018,Germany,Rheingau,Balthasar Ress,3.6,93,10.9,2018,10,9
Kirchspiel Riesling GG 2013,Germany,Rheinhessen,Keller,4.4,93,249.0,2013,249
Etna Santo Spirito Bianco 2018,Italy,Etna,Tenuta delle Terre Nere,3.9,93,25.9,2018,25,9
Rotes Tor - Grüner Veltliner Federspiel 2019,Austria,Wachau,Franz Hirtzberger,4.0,93,19.9,2019,19,9
Zeltinger Himmelreich Riesling Kabinett 2017,Germany,Mosel,Selbach-Oster,3.9,93,14.35,2017,14,35
Glicine Bianco 2019,Italy,Terre Siciliane,Corvo,3.6,93,6.95,2019,6,95
Kirchspiel Riesling GG 2015,Germany,Rheinhessen,Keller,4.6,93,179.0,2015,179
Chenin Blanc (Free-Run Steen) 2019,South Africa,Coastal Region,MAN,3.5,93,5.74,2019,5,74
Vermentino di Sardegna 2018,Italy,Vermentino di Sardegna,Antichi Poderi Jerzu,3.5,93,7.9,2018,7,9
Gewürztraminer Alsace Signature 2018,France,Alsace,Wolfberger,3.9,94,9.13,2018,9,13
Noordhoek Sauvignon Blanc 2018,South Africa,Cape Town,Cape Point Vineyards,3.6,94,16.75,2018,16,75
Turmhof Sauvignon Blanc 2017,Italy,Südtirol - Alto Adige,Tiefenbrunner,3.9,94,14.99,2017,14,99
Hohenmorgen GG 2012,Germany,Pfalz,Dr. Von Bassermann-Jordan,4.0,94,42.89,2012,42,89
Fantini Chardonnay 2018,Italy,Terre di Chieti,Farnese,3.4,94,5.25,2018,5,25
Straden Sauvignon Blanc 2018,Austria,Steiermark,Neumeister,3.8,94,14.45,2018,14,45
Pinot Grigio 2018,United States,California,Canyon Road,3.4,94,6.35,2018,6,35
Sauvignon Blanc 2019,New Zealand,Marlborough,Saint Clair,3.9,94,13.99,2019,13,99
Prestige Blanc 2019,France,Côtes de Provence,Minuty,4.0,94,18.79,2019,18,79
Riesling Trocken 2019,Germany,Rheingau,Leitz,3.7,94,8.94,2019,8,94
Laumersheimer Kapellenberg Trocken Riesling 2017,Germany,Pfalz,Knipser,3.7,94,11.65,2017,11,65
Catulliano Lugana 2019,Italy,Lugana,Pratello,3.7,95,8.2,2019,8,2
Old Vines Chenin Blanc 2017,South Africa,Paarl,Lievland Vineyards,3.9,95,12.99,2017,12,99
Grauer Burgunder Trocken 2015,Germany,Rheinhessen,Wittmann,3.4,95,11.21,2015,11,21
Hohen-Sülzen Riesling 2017,Germany,Rheinhessen,Battenfeld Spanier,3.9,95,16.9,2017,16,9
Adrianna Vineyard White Stones Chardonnay 2012,Argentina,Mendoza,Catena Zapata,4.2,95,79.68,2012,79,68
Prail Sauvignon 2015,Italy,Trentino-Alto Adige,Colterenzio (Schreckbichl),3.8,95,13.6,2015,13,6
Afix Riesling 2015,Italy,delle Venezie,Jermann,3.7,95,18.38,2015,18,38
Gris 2008,Italy,Friuli Isonzo,Lis Neris,4.1,95,44.28,2008,44,28
Water Bend Chardonnay 2014,United States,Sonoma County,Geyser Peak,4.0,95,21.0,2014,21
La Griffe Bernard Chéreau Muscadet Sévre et Maine Sur Lie 2018,France,Muscadet-Sevre et Maine,Chéreau-Carré,3.7,95,7.52,2018,7,52
Haven Chardonnay 2016,South Africa,Coastal Region,Glen Carlou,3.6,96,8.9,2016,8,9
Prestige Lugana 2019,Italy,Lugana,Cà Maiol,3.8,96,10.6,2019,10,6
Meursault 1er Cru 'Blagny' Blanc 2016,France,Meursault 1er Cru 'Blagny',Faiveley,4.4,96,63.9,2016,63,9
M Capriva Del Friuli 2016,Italy,Friuli-Venezia Giulia,Schiopetto,4.2,96,75.9,2016,75,9
RS Weissburgunder 2016,Germany,Baden,Salwey,3.8,96,17.16,2016,17,16
Pinot Grigio 2018,Italy,delle Venezie,Danzante,3.6,96,9.16,2018,9,16
Silvaner Trocken 2017,Germany,Rheinhessen,Wittmann,3.7,96,7.75,2017,7,75
La Segreta Il Bianco 2019,Italy,Sicilia,Planeta,3.5,96,7.66,2019,7,66
Pinot Bianco 2017,Italy,Südtirol - Alto Adige,Alois Lageder,3.4,96,14.89,2017,14,89
Grüner Veltliner 2018,Austria,Carnuntum,Markowitsch,3.4,96,9.39,2018,9,39
Reserva Sauvignon Blanc (Classic) 2019,Chile,Curico Valley,Montes,3.8,96,6.34,2019,6,34
Reserve Bin A Chardonnay 2018,Australia,Adelaide Hills,Penfolds,3.9,97,99.0,2018,99
The Field Blend 2018,South Africa,Coastal Region,Stark-Condé,4.0,97,16.99,2018,16,99
Trittenheimer Apotheke Riesling Kabinett 2016,Germany,Mosel,Ansgar Clüsserath,3.7,97,11.65,2016,11,65
Zieregg Sauvignon Blanc 2017,Austria,Südsteiermark,Tement,4.1,97,48.06,2017,48,06
Alb de Petro Vaselo 2018,Romania,Recas,Petro Vaselo,3.7,97,9.5,2018,9,5
Merus Sauvignon Blanc 2017,Italy,Trentino,Tiefenbrunner,3.8,97,11.2,2017,11,2
Bin 311 Chardonnay 2018,Australia,Tumbarumba,Penfolds,3.8,97,42.45,2018,42,45
Lighea 2019,Italy,Terre Siciliane,Donnafugata,3.9,97,11.9,2019,11,9
Gewürztraminer 2018,Italy,Südtirol - Alto Adige,Ritterhof,3.7,97,14.54,2018,14,54
Angimbé (Tenuta Ficuzza) 2019,Italy,Terre Siciliane,Cusumano,3.8,97,8.25,2019,8,25
Viviri Grillo 2018,Italy,Sicilia,Tenuta Rapitalà,3.7,97,7.9,2018,7,9
Arneis Roero 2018,Italy,Roero,Marchesi di Barolo,3.8,97,11.99,2018,11,99
Akkurat Weiss 2018,Switzerland,Zürich,Staatskellerei Zürich,4.1,97,14.52,2018,14,52
Don Miguel Vineyard Acero Unoaked Chardonnay 2017,United States,Russian River Valley,Marimar Estate,4.2,97,38.99,2017,38,99
Fannia Falanghina del Molise 2018,Italy,Molise,Campi Valerio,3.9,98,10.72,2018,10,72
Burgenland Weiss 2018,Austria,Burgenland,Meinklang,3.8,98,7.9,2018,7,9
Riesling 2014,Luxembourg,Luxembourg,Château de Schengen,3.8,98,20.65,2014,20,65
Alentejano Reserva Branco 2018,Portugal,Alentejano,Herdade dos Grous,4.0,98,19.8,2018,19,8
Unoaked Viognier 2018,United States,Lodi,Gnarly Head,3.3,98,12.11,2018,12,11
Greco - Fiano Basilicata Pipoli 2019,Italy,Basilicata,Vigneti del Vulture,3.9,98,5.54,2019,5,54
